B★ eCO₂ 소형 실용화 — Ch.1 시장규모 데이터 (글로벌 vs 한국),,,,,,,,,
버전: v2.0,조사기준일: 2026-03-15,단위: USD 백만,,,,,,,
,,,,,,,,,
[섹션 A] 응용처별 시장규모 — 한국 (KR) 기준,,,,,,,,,
응용처,시장분류,2024 실적 ($M),2026E ($M),2030F ($M),2035F ($M),CAGR (%),출처,비고
데이터센터 냉각·폐열재생,한국 DC 냉각 시장,176.67,250,454,919,17.04%,Mordor Intelligence 2025; dc_cooling.json §5_korea_specific,냉각 시장 단독 기준
데이터센터 냉각·폐열재생,한국 DC 전체 시장,—,1990,4750,10200,20.38%,Mordor Intelligence; 2026-2031 CAGR,DC 전체 시장 (데이터·서버 포함)
데이터센터 냉각·폐열재생,한국 하이퍼스케일 DC,965.72,1200,2050,2600,9.42%,MarketResearchFuture 2025; dc_cooling.json §5,2024-2035 예측
원전·SMR·열병합 연계,한국 CHP 시장,1900,2100,2450,3000,5.80%,KEPCO 한국 CHP 시장; kepco_korea.json §5,CHP 전체 (발전+열)
원전·SMR·열병합 연계,i-SMR 프로그램 가치,—,—,—,4500+,—,KHNP 사업화 로드맵; 2035 목표
원전·SMR·열병합 연계,한국 핵전력 용량 (GW),24.7,25.5,28.9,35.2,—,11차 에너지기본계획 2025; nuclear_smr.json §section_2,GW 기준 (시장 아님)
LNG 발전소 폐열발전,한국 LNG 발전 용량,—,—,—,—,—,kepco_korea.json §section_2,시장규모 별도 측정 필요
LNG 발전소 폐열발전,한국 ORC 시장,300,350,480,600,9.40%,LinkedIn Pulse; kepco_korea.json §section_6,ORC 기반 폐열발전
LNG 발전소 폐열발전,SK E&S LNG 거래규모,—,—,10000+,—,—,SK E&S: LNG 6 mtpa→10 mtpa (2030)
산업 히트펌프 (제철·석화),한국 열펌프 전체 시장,2890,3430,5200,8000,7.88~9.30%,MarkNtel Advisors; heat_pumps.json §5_korea_specific,주거+상업+산업 합산
산업 히트펌프 (제철·석화),한국 산업 히트펌프 분야,260,310,520,850,7.9%,한국에너지기술평가원(KETEP); 추정치,산업공정열 전용
화력발전소 폐열회수,한국 CHP+폐열 시장,1900,2050,2400,2800,5.80%,kepco_korea.json §section_5,CHP 포함 기준
제철소 고로 폐열,한국 철강 ORC/WHR 잠재,—,100,250,500,—,POSCO 자체 에너지 데이터; 추정치,미개발 잠재 규모
,,,,,,,,,
[섹션 B] 응용처별 시장규모 — 글로벌 기준,,,,,,,,,
응용처,시장분류,2024 실적 ($B),2026E ($B),2030F ($B),2035F ($B),CAGR (%),출처,비고
데이터센터 냉각·폐열재생,DC 냉각 전체 시장,16.32,20.5,40.72,75+,16.46%,GlobeNewswire 2025; dc_cooling.json §4,글로벌 전체
데이터센터 냉각·폐열재생,DC 액냉 시장,5.65,6.0,15.75,27.1,18.2~24.0%,Research&Markets; GM Insights; dc_cooling.json §4,액체냉각 전용
데이터센터 냉각·폐열재생,CDU 시장,1.5,1.8,4.5,7.1,21.40%,Grand View Research; dc_cooling.json §1,냉각수분배장치
원전·SMR·열병합 연계,글로벌 SMR 시장,2.0,3.5,15.0,45.0,18.0%,IEA; WNA; 추정치,초기단계 가속
원전·SMR·열병합 연계,글로벌 원자력 시장,45.0,50.0,70.0,110.0,8.0%,WNA World Nuclear Outlook,전체 원자력
LNG 발전소 폐열발전,글로벌 CCGT 시장,25.0,27.0,35.0,42.0,5.5%,IEA; IRENA 추정치
산업 히트펌프 (제철·석화),글로벌 산업 히트펌프,9.5,11.0,20.0,40.0,5.9~15.0%,McKinsey; ResearchAndMarkets; heat_pumps.json §4,정의에 따라 크게 다름
산업 히트펌프 (제철·석화),고온 산업 히트펌프 (HTHP),0.83,1.0,1.8,3.5,5.90%,MarketReportAnalytics; heat_pumps.json §4,>100°C 출력 전용
화력발전소 폐열회수,글로벌 CHP 시장,25.0,27.0,33.0,40.0,4.5%,IEA; 추정치
제철소 고로 폐열,글로벌 철강 WHR,1.2,1.5,2.8,5.0,9.4%,POSCO 그룹 리포트; 학술 추정,고로 폐열 특정
,,,,,,,,,
[섹션 C] B★ eCO₂ 특정 시장 기회 추정,,,,,,,,,
항목,근거,2026E ($M),2028E ($M),2030E ($M),2033E ($M),2035E ($M),가정사항,출처
B★ 한국 TAM (전체 응용처 합산),6개 응용처 KR 합계,—,1600,3200,6000,9800,수식: 각 응용처 시장×B★침투율 가정 없음,복합계산
B★ 한국 SAM (DC냉각 1순위),한국 DC냉각 침투 가능 시장,—,120,280,550,920,DC냉각 시장의 10-15% eCO₂ 적용 가능,dc_cooling.json §5 기반 추정
B★ Hub-S1 모델 매출 예측,FS_B v3 재무모델 기준,—,20,85,200,527,IRR 42.4% / Payback 4년 / 10년 매출 $527M,FS_B_Standalone_WITH_FORMULAS_v3.xlsx
eCO₂ 시스템 CAPEX 비교,Hub-S1 단위 $18M,18,18,16,14,12,단위 CAPEX 학습효과 반영,B★ 재무모델
한국 전력 절감 잠재 (DC),서울 DC 150개×1MW 절감,—,300,700,1400,2500,PUE 1.5→1.1 절감효과 $0.06/kWh 기준,KEPCO 전기요금 기반
,,,,,,,,,
[섹션 D] 핵심 정책·규제 변수 (한국),,,,,,,,,
정책/규제,내용,발효일,시장 영향,출처
분산에너지활성화특별법,DC >10MW 전력망영향평가 의무; 분산에너지특구 자체 전력거래 허용,2024-06,DC 분산전원+eCO₂ 발전 직결 기회,kepco_korea.json; dc_cooling.json §5
SMR법 (소형모듈원자로 지원특별법),SMR 전용 인허가·지원 체계 창설,2026-02,i-SMR 프로젝트 가속; eCO₂ 연계 열병합 기회,nuclear_smr.json §section_2_ismr
i-SMR SDA 신청,KHNP+KAERI 혁신형 SMR 설계인가 신청 (NSSC),2026-03,2028 인가 후 건설착공→2035 상업운전 목표,nuclear_smr.json §section_2
산업용 전기요금 개편,주간 피크 16.9원/kWh 인하 / 야간 5.1원/kWh 인상,2026-04-16,eCO₂ DC냉각·히트펌프 경제성 개선,kepco_korea.json §section_5; heat_pumps.json §5
열펌프 재생에너지 인정,공기열 열원을 재생에너지로 공식 인정,2025-12,히트펌프 REC 가중치 부여→수익성 향상,heat_pumps.json §5_korea_specific
한국 $735B 주권 AI 이니셔티브,50개 신규 DC·GPU 50만대·SK하이닉스 등 투자 약속,2025,DC 시장 급팽창 → eCO₂ 냉각 수요 폭증,dc_cooling.json §5_korea_specific
체코 APR-1400 수출 확정,$19B 계약 (2025.06); EU 국가보조 승인 (2025.12),2025-06,KHNP 해외 파이프라인 확대 → eCO₂ 수출 동반 기회,nuclear_smr.json §section_2_apr1400
