"항목","eCO₂ (B★ 전임계)","sCO₂ (초임계)","ORC (유기 랭킨)","증기 랭킨 사이클"
"작동 유체","CO₂ (R744)","CO₂ (R744)","유기 냉매 (R245fa 등)","물/스팀"
"작동 압력 (bar)","28~95",">74 (초임계)","1~35","1~300"
"최적 열원 온도 (°C)","80~200 (중저온)","400~700 (고온)","80~300 (중온)",">300 (고온)"
"냉각 COP","≥7.5 (B★ 목표) / 3.05~3.92 (일반)","해당 없음 (발전 전용)","해당 없음 (발전 전용)","해당 없음 (발전 전용)"
"발전 효율 (%)","41.4 (WHR 복합)","45~50 (고온 사이클)","10~20","25~45"
"시스템 크기","소형·모듈형 (컨테이너급)","대형 (발전소급)","중형","대형"
"설비 CAPEX (상대지수)","1.0 (기준)","2.5~4.0","1.5~2.5","3.0~5.0"
"한국 상용화 단계","P1 2027 목표 (B★)","초기 실증 (KEPCO 2027)","일부 상용","완전 상용"
"DC 냉각 적용성","최적 (설계 목적)","불가","제한적","불가"
"프리쿨링 에너지 절감","최대 70%","해당 없음","해당 없음","해당 없음"
"GWP (지구온난화지수)","1 (최저)","1 (최저)","950~1,030","해당 없음"
"안전 등급","A1 (비가연성·무독성)","A1","B1 (약가연성)","N/A"
"주요 한국 R&D 기관","B★ (독자 개발)","KEPCO·KIER·한화파워시스템","KIER·GS건설","전통 발전사"
"출처/신뢰도","ScienceDirect 2025 / DOE-NETL / B★ 자체 데이터","KEPCO 6th sCO₂ Conf 2025","IRENA 2024","IEA 2024"