"구분","기업명","국가","역할","B★ 활용도","공급 단가 (USD)","리드타임 (주)","인증","비고"
"글로벌 1위","Alfa Laval","스웨덴/한국","가스쿨러·내부열교환기","★★★★★","450~900 /kW","20~26","ASME/PED","국내 법인 운영"
"글로벌 2위","Heatric (Parker)","영국","가스쿨러 전용","★★★★☆","500~950 /kW","18~24","ASME/PED","압력 1,000bar 이상 가능"
"글로벌 3위","KOBE Steel","일본","중간열교환기(IHX)","★★★☆☆","380~700 /kW","16~22","JIS/ASME","일본 조달 제한"
"글로벌 4위","Vacuum Process Eng.","미국","소형 맞춤 PCHE","★★★☆☆","600~1,200 /kW","12~18","ASME","소량 주문 가능"
"글로벌 5위","Sumitomo SPP DuraBlex","일본","수소/LNG용 마이크로채널","★★☆☆☆","400~800 /kW","18~24","JIS/ASME","H₂스테이션 주력"
"한국 1위","동화엔텍","한국(부산)","가스쿨러·전증발기","★★★★★","300~650 /kW","14~20","KS/ASME/CE","PCHE 국내 최초 국산화"
"한국 R&D","KIMM 한국기계연구원","한국(대전)","원천기술·IP 보유","★★★★☆","협약 기반","프로젝트별","KR특허 KR0991113외","확산접합 IP 보유"
"대만 파트너","AISI/Tatung HX","대만","보조 열교환기","★★★☆☆","280~520 /kW","10~16","ASME","B★ 한↔대만 분업"
"시장 규모","PCHE 글로벌 시장","전세계","시장 데이터","-","$551.62M (2025)","-","-","CAGR 5.1% → $907M (2035)"
"B★ 수요","eCO₂ 1MW 시스템","B★ 기준","PCHE 소요 (kW)","10대/유닛","$4.5M~9M /유닛","-","-","CAPEX $18M 중 25~50%"