"Category","Parameter","PCHE (Printed Circuit HX)","Shell & Tube HX","Plate HX","Source"
"Design Pressure","Max Pressure (bar)","1,250","300~400","25~40","Alfa Laval 2025"
"Design Temperature","Temperature Range (°C)","-270 ~ 900","-100 ~ 600","-50 ~ 250","Heatric/Parker 2024"
"Compactness","Heat Transfer Area per Volume (m²/m³)","1,000~2,500","100~300","400~700","ScienceDirect 2025"
"Size & Weight","Relative Size vs PCHE","Baseline (1.0×)","Shell & Tube 5~7×","Plate 1.5~2×","Heatric/Parker 2024"
"Channel Diameter","Flow Channel Diameter (mm)","0.5~3.0","10~50","2~10","KIMM Technical Report 2024"
"Bonding Method","Manufacturing Process","Diffusion Bonding","Welding/Rolling","Brazing/Gasket","DongHwa Entec 2024"
"Heat Transfer Efficiency","Thermal Effectiveness (%)","95~99","75~85","85~92","ScienceDirect sCO₂ 2025"
"Material","Key Materials","SS304/316, Inconel 617, Alloy 800HT","Carbon Steel/SS304","SS316L/Titanium","IAEA HTR2014"
"CAPEX","Unit Cost (USD/kW)","450~900","120~250","200~400","LinkedIn PCHE Market 2026"
"B★ eCO₂ Application","Gas Cooler Pressure (MPa)","8.0~12.0","Not Applicable","Limited","B★ Project Baseline"
"B★ eCO₂ Application","Target Approach Temperature (°C)","2~5","10~20","5~10","B★ Project Baseline"
"Certification","International Standards","ASME VIII Div.1 / PED 2014","ASME VIII","ASME VIII","Alfa Laval 2025"
"Lead Time","Manufacturing Lead Time (weeks)","16~26","8~16","6~12","DongHwa Entec 2023"