"구분","파라미터","PCHE (인쇄회로 열교환기)","쉘앤튜브 HX","판형 HX","출처"
"설계 압력","최대 압력 (bar)","1,250","300~400","25~40","Alfa Laval 2025"
"설계 온도","온도 범위 (°C)","-270 ~ 900","-100 ~ 600","-50 ~ 250","Heatric/Parker 2024"
"컴팩트성","체적 대비 전열면적 (m²/m³)","1,000~2,500","100~300","400~700","ScienceDirect 2025"
"크기·중량","동일 성능 대비 크기","기준 (1.0×)","쉘앤튜브 5~7×","판형 1.5~2×","Heatric/Parker 2024"
"채널 직경","유로 직경 (mm)","0.5~3.0","10~50","2~10","KIMM 기술보고서 2024"
"접합 방식","제조 공법","확산접합(Diffusion Bonding)","용접/롤링","브레이징/가스켓","동화엔텍 2024"
"열전달 효율","열교환 효율 (%)","95~99","75~85","85~92","ScienceDirect sCO2 2025"
"재료","주요 소재","SS304/316, 인코넬617, 합금800HT","탄소강/SS304","SS316L/티타늄","IAEA HTR2014"
"CAPEX 단가","비용 (USD/kW 기준)","450~900","120~250","200~400","LinkedIn PCHE Market 2026"
"B★ eCO₂ 적용","가스쿨러 압력 (MPa)","8.0~12.0","적용 불가","제한적","B★ 프로젝트 기준"
"B★ eCO₂ 적용","목표 온도차 접근 (°C)","2~5","10~20","5~10","B★ 프로젝트 기준"
"인증 규격","국제 규격","ASME VIII Div.1 / PED 2014","ASME VIII","ASME VIII","Alfa Laval 2025"
"리드타임","제작 기간 (주)","16~26","8~16","6~12","동화엔텍 2023"